quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
B15,123,B15_123,B15_123,PONU,,Prior,85,485,5.5,V,BD,,,,2/3/2024,2024
B15,125,B15_125,B15_125,DRWI,,Prior,135,200,7.8,V,BD,,,,2/3/2024,2024
B15,126,B15_126,B15_126,DRWI,,Prior,220,260,17.4,V,DO,I,,,2/3/2024,2024
B15,127,B15_127,B15_127,CRHO,,Prior,130,240,6.9,V,IN,,,CH cambiar,2/3/2024,2024
B15,128,B15_128,B15_128,DRWI,,Prior,210,320,7.3,E,IN,I,,,2/3/2024,2024
B15,129,B15_129,B15_129,DRWI,,Prior,350,170,18,V,EM,,,,2/3/2024,2024
B15,131,B15_131,B15_131,NONI,,Prior,480,130,17.5,V,DO,,,,2/3/2024,2024
B15,132,B15_132,B15_132,NONI,,Prior,420,400,7.2,V,IN,,,,2/3/2024,2024
B16,10,B16_10,B16_10,TEST,,Prior,160,420,11,V,DO,,,,2/3/2024,2024
B16,11,B16_11,B16_11,CAPA,,Prior,310,50,7.2,V,IN,I,,,2/3/2024,2024
B16,12,B16_12,B16_12,TEST,,Prior,300,200,6.8,V,BD,I,,,2/3/2024,2024
B16,13,B16_13,B16_13,TEST,,Prior,360,300,10.1,V,DO,I,,,2/3/2024,2024
B16,14,B16_14,B16_14,TEST,,Prior,390,170,9.7,V,IN,,,,2/3/2024,2024
B16,15,B16_15,B16_15,NONI,,Prior,490,150,23,V,EM,,,,2/3/2024,2024
B16,17,B16_17,B16_18,TEST,R1,Prior,450,255,9.7,V,CD,,,,2/3/2024,2024
B16,18,B16_18,B16_18,TEST,R1,Prior,450,270,11.6,V,IN,I,,,2/3/2024,2024
B16,19,B16_19,B16_18,TEST,R1,Prior,460,260,5.7,V,IN,I,,,2/3/2024,2024
B16,20,B16_20,B16_18,TEST,R1,Prior,470,265,-999,A,-999,-999,,No encontrado,2/3/2024,2024
B16,21,B16_21,B16_21,TEST,,Prior,480,280,7.8,V,IN,I,,,2/3/2024,2024
